"dte","collectionid","collectionname","marketcupusd"
2021-07-10,504,BoredApeYachtClub,609729.6183999999
2021-07-11,504,BoredApeYachtClub,1316331.6815000006
2021-07-12,504,BoredApeYachtClub,1612176.51339931
2021-07-13,504,BoredApeYachtClub,1654483.2842
2021-07-14,504,BoredApeYachtClub,1893722.5247812497
2021-07-15,504,BoredApeYachtClub,3648210.1858776254
2021-07-16,504,BoredApeYachtClub,4218999.566199999
2021-07-17,504,BoredApeYachtClub,5058293.210777814
2021-07-18,504,BoredApeYachtClub,2335186.6473750006
2021-07-19,504,BoredApeYachtClub,995725.688
2021-07-20,504,BoredApeYachtClub,744799.1975
2021-07-21,504,BoredApeYachtClub,978646.1499000001
2021-07-22,504,BoredApeYachtClub,649020.5912000001
2021-07-23,504,BoredApeYachtClub,701326.1198999999
2021-07-24,504,BoredApeYachtClub,449033.067
2021-07-25,504,BoredApeYachtClub,1087299.1902500002
2021-07-26,504,BoredApeYachtClub,896569.5030000001
2021-07-27,504,BoredApeYachtClub,766110.2274000002
2021-07-28,504,BoredApeYachtClub,638355.8363000001
2021-07-29,504,BoredApeYachtClub,397966.97500000003
2021-07-30,504,BoredApeYachtClub,932481.5050000001
2021-07-31,504,BoredApeYachtClub,3322436.7424000003
2021-08-01,504,BoredApeYachtClub,8008882.849100001
2021-08-02,504,BoredApeYachtClub,2692456.0719000003
2021-08-03,504,BoredApeYachtClub,4276593.902899999
2021-08-04,504,BoredApeYachtClub,18014861.7537
2021-08-05,504,BoredApeYachtClub,8127661.017947782
2021-08-06,504,BoredApeYachtClub,6852261.971000001
2021-08-07,504,BoredApeYachtClub,5567237.889705072
2021-08-08,504,BoredApeYachtClub,7087660.777
2021-08-09,504,BoredApeYachtClub,3786645.6081000012
2021-08-10,504,BoredApeYachtClub,3664287.2769
2021-08-11,504,BoredApeYachtClub,5028605.195100001
2021-08-12,504,BoredApeYachtClub,2345820.8627999993
2021-08-13,504,BoredApeYachtClub,2029527.3542
2021-08-14,504,BoredApeYachtClub,3042244.4784
2021-08-15,504,BoredApeYachtClub,3507762.599499999
2021-08-16,504,BoredApeYachtClub,1935271.9089999998
2021-08-17,504,BoredApeYachtClub,1937604.9842000003
2021-08-18,504,BoredApeYachtClub,1582044.197
2021-08-19,504,BoredApeYachtClub,1572294.8332000002
2021-08-20,504,BoredApeYachtClub,9581353.614600003
2021-08-21,504,BoredApeYachtClub,21663761.548600003
2021-08-22,504,BoredApeYachtClub,5780166.057000001
2021-08-23,504,BoredApeYachtClub,18284458.3329
2021-08-24,504,BoredApeYachtClub,15623146.146899998
2021-08-25,504,BoredApeYachtClub,12485940.734499997
2021-08-26,504,BoredApeYachtClub,12963017.513300003
2021-08-27,504,BoredApeYachtClub,8813502.173400002
2021-08-28,504,BoredApeYachtClub,53999978.71960001
2021-08-29,1,MutantApeYachtClub,128838240.85352165
2021-08-29,504,BoredApeYachtClub,17477934.392974216
2021-08-30,1,MutantApeYachtClub,39502851.38886049
2021-08-30,504,BoredApeYachtClub,19203952.184099995
2021-08-31,1,MutantApeYachtClub,17353994.868253503
